promptID,pairID,source,target,MTQE_annotator0,MTQE_annotator1,MTQE_annotator2,MTQE_annotator3,MTQE_annotator4,MTQE_annotator5,MTQE_annotator6,MTQE_scores,MTQE_z_scores,MTQE_mean,MTQE_z_mean
119333,357985,The corrida is not for everyone not even for every Spaniard .,"Nije za svakoga, čak ni za svakog Španjolca.",85,50,45,60.0,,,,"[50.0, 45.0, 60.0]","[-0.34626647503038044, -0.19213714412213895, -0.23806486500741963]",51.66666666666666,-0.258822828053313
44781,134339,it 's not that 's why it keeps going up huh that 's another topic,"To nije to, to je razlog zašto se nastavlja, huh, to je još jedna tema",67,79,30,95.0,,,,"[67.0, 79.0, 95.0]","[0.01090489864929527, 0.46143332596548003, 1.1918757977272245]",80.33333333333333,0.5547380074473333
86905,260709,but okay so did wait do you watch Saturday Night Live yesterday,Gledajte Saturday Night Live jučer,45,24,25,,,,,"[45.0, 24.0, 25.0]","[-0.7009875947765017, -1.070411124199083, -0.7610952256209219]",31.33333333333333,-0.8441646481988356
65723,197164,"Ornate carvings on the stone facade can still just be discerned , though they have suffered greatly through weathering and pollution .","Ornate rezbarije na kamenoj fasadi još uvijek se mogu samo razlikovati, iako su mnogo pretrpjele zbog vremenskih promjena i onečišćenja.",75,88,35,85.0,,,,"[75.0, 88.0, 85.0]","[0.269774896258676, 0.7120987814469539, 0.7833213226601834]",82.66666666666667,0.5883983334552711
121753,365243,"Behind me , one of White 's followers fell in a halo of electricity .","Iza mene, jedan od Whiteovih sljedbenika pao je u halo električne energije.",94,87,90,,,,,"[94.0, 87.0, 90.0]","[0.8845911405809553, 0.6842470641712346, 1.0880185392501227]",90.33333333333331,0.8856189146674375
121607,364805,"In the case of property acquired through forfeiture proceedings , the timing of recognition depends on the nature and disposition of the property .","U slučaju imovine stečene postupkom oduzimanja, vrijeme priznavanja ovisi o prirodi i rasporedu imovine.",72,90,75,,,,,"[72.0, 90.0, 75.0]","[0.17269864715515823, 0.7678022159983926, 0.6612999781260355]",79.0,0.5339336137598621
110334,330990,"Note the carved helmets and swords set above the choir stalls and the 19th-century tiled floor , similar to the one in Christ Church .","Obratite pažnju na izrezane kacige i mačeve postavljene iznad koorskih stožera i pločastih podova iz 19. stoljeća, sličnih onima u Kristovoj crkvi.",60,92,50,70.0,,,,"[60.0, 50.0, 70.0]","[-0.2156063492589129, -0.0498976237474432, 0.17048961005962154]",60.0,-0.03167145431557818
2753,8257,oh well they they come out with a lot of bruises too,I oni izlaze s puno modrica,91,89,45,55.0,80.0,,,"[91.0, 89.0, 80.0]","[0.7875148914774375, 0.7399504987226733, 1.1249673513186822]",86.66666666666669,0.8841442471729308
1759,5275,We call it the Lover 's Lap .,To se zove ljubavnica ljubičice.,15,8,10,,,,,"[15.0, 8.0, 10.0]","[-1.6717500858116796, -1.5160386006105921, -1.1878137867450091]",11.0,-1.4585341577224271
50001,149999,"After umpteen biographies celebrating Bloomsbury 's mad feminist , Lee 's is saluted for rediscovering the real Woolf .","Nakon desetak biografija koje slave Bloomsburyjevu ludu feministkinju, Lee je pozdravljen jer je ponovno otkrio pravog Woolfa.",73,83,50,70.0,,,,"[73.0, 83.0, 70.0]","[0.20505739685633084, 0.5728401950683574, 0.17048961005962154]",75.33333333333333,0.31612906732810325
20287,60857,"Under the Clear Skies Act , EPA does not expect that ACI will be implemented at many facilities due to the co-benefit of mercury removal from other control technologies .","U skladu sa Zakonom o čistom nebu, EPA ne očekuje da će ACI biti implementiran na mnogim objektima zbog zajedničke koristi uklanjanja živote iz drugih tehnologija kontrole.",60,83,60,,,,,"[60.0, 83.0, 60.0]","[-0.2156063492589129, 0.5728401950683574, 0.23458141700194826]",67.66666666666667,0.19727175427046426
13101,39299,Inside is a 16th-century sculpted sandstone pulpit and marble altar .,U unutrašnjosti je izrezani pješčani kamen iz 16. stoljeća i mramorni oltar.,57,93,30,50.0,,,,"[57.0, 30.0, 50.0]","[-0.3126825983624307, -0.6188557052462261, -0.6466193400744609]",45.66666666666666,-0.5260525478943726
118240,354708,wow i dropped the phone,Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
26956,80864,uh uh-huh well good i hope hope it 's nice too,Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
18992,56972,retrofit of three absorbers for six boilers ) .,Sljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članak,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
40086,120254,uh-huh i go to LSU,Hahahahahahahahahahahahahahahahahahahahahahahahahah,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
122652,367938,plant again in um late September,Sljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakSljedeći članakU rujnu,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
127187,381543,no it 's oh uh i want to see it,"Ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne",0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
106967,320891,The end is nigh .,Kraj je blizu.,97,98,100,,,,,"[97.0, 98.0, 100.0]","[0.9816673896844731, 0.9906159542041473, 1.372497579999514]",98.33333333333331,1.114926974629378
89836,269500,Berry-Limousin,Sljedeći članakLimousin,13,0,0,,,,,"[13.0, 0.0, 0.0]","[-1.7364675852140248, -1.7388523388163468, -1.4722928274944005]",4.333333333333333,-1.6492042505082576
121479,364421,and uh do you know any of the characters,Znate li koje od ovih likova,95,91,90,,,,,"[95.0, 91.0, 90.0]","[0.9169498902821279, 0.7956539332741119, 1.0880185392501227]",92.0,0.9335407876021208
130025,390053,"I think this one is a shade less solid than the one in the passage . "" We strained and heaved together .","""Mislim da je ova nijansa manje čvrsta od one u prolazu. """"""",65,75,15,55.0,,,,"[65.0, 75.0, 55.0]","[-0.053812600753049916, 0.3500264568626027, -0.44234210254094025]",65.0,-0.04870941547712917
27116,81344,Some men can 't forgit an ' don 't seem to want to .,Neki muškarci ne mogu skinuti 'ne' kao da ne žele.,48,34,10,40.0,,,,"[48.0, 34.0, 40.0]","[-0.603911345672984, -0.7918939514418897, -1.055173815141502]",40.66666666666666,-0.8169930374187919
46819,140453,no i can 't either i really can 't um,Ne mogu niti stvarno ne mogu,72,61,10,55.0,,,,"[72.0, 61.0, 55.0]","[0.17269864715515823, -0.039897584997467865, -0.44234210254094025]",62.66666666666666,-0.10318034679441664
85243,255723,""" The mathematician thought of such an idea , "" Sersa Garm said sourly .","""""""Matematičar je pomislio na takvu ideju"""", rekla je Sersa Garm.""",74,72,40,70.0,,,,"[74.0, 72.0, 70.0]","[0.23741614655750343, 0.26647130503544475, 0.17048961005962154]",72.0,0.22479235388418992
2241,6721,so that 's an interesting alternative occasionally that i like to use,tako da je to zanimljiva alternativa s vremena na vrijeme koju volim koristiti,85,86,80,,,,,"[85.0, 86.0, 80.0]","[0.593362393270402, 0.6563953468955153, 0.8035394985007313]",83.66666666666667,0.6844324128888828
113852,341544,but um he and but the irony irony is that i 've been overweight all my life and he uh he almost discouraged my brother and i from getting involved in athletics um because he felt that we needed to concentrate on on other things more important things in life uh but now and and he 's still into athletics in fact he 's eighty two and he is in the senior olympics every year and he always brings home silver and gold medals and he competes against people uh as much as thirty years younger than he is,ali um on i ali ironija ironija je da sam bio prekomjerna tjelesna težina cijeli moj život i on uh on je gotovo odvratio moj brat i ja od sudjelovanja u atletike um jer je osjećao da se moramo usredotočiti na druge stvari važnije stvari u životu uh ali sada i on je još uvijek u atletiku u stvari on je osamdeset dva i on je u senior Olimpijade svake godine i on uvijek donosi kući srebrne i zlatne medalje i on se natječe protiv ljudi uh koliko trideset godina mlađi od njega je,60,71,35,51.0,,,,"[60.0, 71.0, 51.0]","[-0.2156063492589129, 0.23861958775972542, -0.6057638925677568]",60.66666666666666,-0.1942502180223148
93513,280531,"Attractive and excellently crafted hand-made rugs , mostly from the Alentejo region , have been produced for centuries .","Atraktivni i izvrsno izrađeni ručni tepisi, uglavnom iz regije Alentejo, proizvode se već stoljećima.",75,89,50,99.0,,,,"[75.0, 89.0, 99.0]","[0.269774896258676, 0.7399504987226733, 1.355297587754041]",87.66666666666669,0.7883409942451302
12579,37733,"Rouen continues to work on its monuments and public buildings , and recently has finished quayside renovations aimed at bringing life back to the riverside with new promenades .","Rouen nastavlja raditi na svojim spomenicima i javnim zgradama, a nedavno je završio obnove na šljunčanoj obali usmjerene na vraćanje života na obalu rijeke s novim šetnicama.",78,92,70,,,,,"[78.0, 92.0, 70.0]","[0.3668511453621938, 0.8235056505498313, 0.5190604577513398]",80.0,0.5698057512211216
118587,355749,The end of the article features a prominent F * * k you .,Na kraju članka nalazi se istaknuti F * * k you.,95,87,50,51.0,40.0,74.0,,"[95.0, 87.0, 74.0]","[0.9169498902821279, 0.6842470641712346, 1.8913918366064701]",85.33333333333333,1.1641962636866108
77886,233653,yeah we 're getting to where straying i guess yeah,"Da, mi dolazimo tamo gdje smo nestali I guess yeah",40,21,35,,,,,"[40.0, 21.0, 35.0]","[-0.8627813432823648, -1.153966276026241, -0.4766161848715304]",32.0,-0.8311212680600454
93516,280540,"Hahaha ! Oh , wait , what are you doing ? What they hell are you doing here ? Let me go ! '",Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
75767,227296,uh-huh yeah you too you too,Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
30353,91055,uh-huh i 'd think so,Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
3139,9415,uh-huh you had company,Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
36972,110912,We 're going to listen to the evidence ( Sen.,Mi ćemo slušati dokaze (Sen.,85,88,85,,,,,"[85.0, 88.0, 85.0]","[0.593362393270402, 0.7120987814469539, 0.9457790188754269]",86.0,0.750413397864261
84829,254481,"And milk , and oats , and straw , Thistles , or lettuces instead ,","I mlijeko, i oves, i slame, Thistles, ili lettuce umjesto,",20,14,5,,,,,"[20.0, 14.0, 5.0]","[-1.5099563373058167, -1.3489282969562761, -1.330053307119705]",13.0,-1.3963126471272658
79242,237720,There are also risks to going it alone .,Postoji rizik i odlazak sam.,55,62,15,50.0,,,,"[55.0, 62.0, 50.0]","[-0.37740009776477584, -0.012045867721748538, -0.6466193400744609]",55.66666666666666,-0.3453551018536617
61623,184865,Public Expenditure .,javnih rashoda.,94,70,75,,,,,"[94.0, 70.0, 75.0]","[0.8845911405809553, 0.21076787048400608, 0.6612999781260355]",79.66666666666667,0.585552996396999
41618,124850,I guess that settles it .,Mislim da se to riješilo.,88,34,50,70.0,68.0,36.0,,"[34.0, 50.0, 36.0]","[-0.7918939514418897, -0.0498976237474432, 0.2324552317172221]",40.0,-0.20311211449070365
81812,245430,that it 's worth planting yeah,da se isplati saditi da,96,76,100,,,,,"[96.0, 76.0, 100.0]","[0.9493086399833005, 0.37787817413832203, 1.372497579999514]",90.66666666666669,0.8998947980403789
24501,73499,leading edge don 't they,Sljedeći članakEdge Don’t They,0,2,0,,,,,"[0.0, 2.0, 0.0]","[-2.1571313313292686, -1.6831489042649082, -1.4722928274944005]",0.6666666666666666,-1.7708576876961926
72740,218215,problem of course in my job i don 't know who would do it while i 'm gone that long we 're desperately trying to find time to uh train someone else to do it but i feel certainly it would still be there if if not burying me but uh it 'll be there when i get back uh flex times another benefit that i i like that TI 's been doing uh though officially they just started it uh uh relatively recently uh we were always given the privilege with our supervisor that was there we were really small shop and there was only one shift so we didn 't interfere with anyone and he liked the idea of having someone there early enough to handle third shift 's concerns and late enough to handle second shift and so he allowed us to come in basically as we as we wanted to and as it worked out two or three of us were there about six in the morning and,"problem, naravno, u mom poslu ne znam tko će to učiniti dok sam otišao tako dugo mi očajnički pokušavaju pronaći vrijeme da uh trenirati nekoga drugog da to učiniti, ali osjećam da je vjerojatno da će i dalje biti tamo ako me ne pokopati, ali uh 'to će biti tamo kada se vratim uh flex vremena još jedna korist da mi se sviđa da TI's učiniti uh iako službeno su upravo počeli uh uh relativno nedavno uh uvijek smo dobili privilegija s našim supervizorom koji je bio tamo smo bili stvarno mala trgovina i bilo je samo jedna smjena tako da nismo ometali nikoga i on je volio ideju da je netko tamo dovoljno rano da se bave trećim smjenama brige i dovoljno kasno da se bave drugom smjenom i tako nam je dopustio da u osnovno kao što smo htjeli i",55,78,40,50.0,,,,"[55.0, 40.0, 50.0]","[-0.37740009776477584, -0.3343766644968347, -0.6466193400744609]",48.33333333333334,-0.4527987007786904
104167,312493,Slim advanced slowly .,Slim je polako napredovao.,100,90,100,,,,,"[100.0, 90.0, 100.0]","[1.078743638787991, 0.7678022159983926, 1.372497579999514]",96.66666666666669,1.073014478261966
91733,275191,"You , he said beneath his breath .","Ti, rekao je ispod daha.",86,85,100,,,,,"[86.0, 85.0, 100.0]","[0.6257211429715746, 0.6285436296197959, 1.372497579999514]",90.33333333333331,0.8755874508636282
49673,149015,um and he had to past and he told them remember remember you,Um i on je morao proći i on im je rekao da se sjetite,84,39,50,45.0,,,,"[39.0, 50.0, 45.0]","[-0.652635365063293, -0.0498976237474432, -0.8508965776079814]",44.66666666666666,-0.5178098554729059
99340,298012,Um . Hello . ' I said vaguely .,"“Dobro jutro”, rekao sam vagusno.",45,23,10,30.0,,,,"[23.0, 10.0, 30.0]","[-1.0982628414748024, -1.1878137867450091, -1.4637282902085433]",21.0,-1.2499349728094515
119385,358141,It would only be fitting that yadda,Bilo bi lijepo samo u tom slučaju,40,21,0,45.0,,,,"[40.0, 21.0, 45.0]","[-0.8627813432823648, -1.153966276026241, -0.8508965776079814]",35.333333333333336,-0.9558813989721958
60343,181025,yeah exactly i mean and sometimes they they would now i like Jeopardy and Jeopardy comes on here at seven o 'clock,da točno mislim i ponekad oni bi sada volim opasnost i opasnost dolazi ovdje u sedam ujutro,53,20,30,20.0,,,,"[20.0, 30.0, 20.0]","[-1.1818179933019604, -0.6188557052462261, -1.8722827652755845]",23.33333333333333,-1.2243188212745904
107828,323472,like an attachment or,Kao privrženost ili,25,34,100,90.0,10.0,,,"[25.0, 34.0, 10.0]","[-1.3481625887999538, -0.7918939514418897, -1.1651496049678107]",23.0,-1.1017353817365514
